Curriculum code,Course introduction,Course objectives
2180182,"
虚拟化技术与云计算是软件工程专业的一门重要的专业选修课。本门课程主要讲述虚拟化技术、云计算技术的理论基础及开发，数据中心系统技术。通过该课程的学习，学生不仅要掌握虚拟化和云计算技术的基础原理，还要掌握在Hadoop等云计算系统上的开发能力。
","
1. 了解虚拟化技术与云计算的发展历史和主要分类，能够选择适当的云计算技术解决实际需求。（支撑毕业要求8）
2. 能够理解掌握虚拟化技术原理，并应用虚拟化技术实现对物理计算资源的弹性管理。（支撑毕业要求3）
3能够应用虚拟化及云计算技术，编写云平台下的数据处理应用程序。（支撑毕业要求3）
4. 能够掌握云计算数据中心的网络基础设计架构的建设原理，根据实际规模需求设计云端网络拓扑结构。（支撑毕业要求3）
5. 能够根据系统设计需求，进行团队合作，撰写设计方案，能够清晰的进行陈述发言表达自己的设计思想，与他人进行沟通和交流。（支撑毕业要求9、10）

毕业要求

1
2
3
4
5
6
7
8
9
10
11
12
课程目标1







√




课程目标2


√









课程目标3


√









课程目标4


√









课程目标5








√
√


四、基本要求
课程授课采用计算机多媒体形式，辅以电子教案与电子书。教学强调理论学习与实践相结合，主张学生动手验证理论知识。使用计算机网络辅助教学，包括在线答疑、布置和批改作业及在线测试等。
五、教学内容
1、授课与自学
1. 云计算概念
1.1 计算系统的历史，网格和云
1.2 云计算的服务模型和部署模型
本章重点：云计算概念，云服务模型，云部署模型
难点：云计算特征
教学模式：课堂授课、课后复习，指导学生查阅相关文献。
知识点：集群计算，网格计算，云计算，基础设施即服务，平台即服务，软件即服务，公有云，私有云，混合云。
能力要求：理解云服务的概念，掌握云计算特征，掌握三种云服务模型和四种云部署模型。
2. 云计算基础
2.1 通信
2.2 时间
2.3 一致性
本章重点：多播，时间戳，合意一致性 
难点：通信消息排序，向量时间戳，Paxos协议
教学模式：课堂授课、课后复习。
知识点：多播消息排序，Gossip协议，时间差，时钟同步，逻辑时间戳，选举，异步系统同步
能力要求：根据需求能够正确的云计算环境下的通信方法、时钟同步及一致性保障。
3. 虚拟化技术
3.1 IaaS及虚拟化
3.2 抽象
3.3 虚拟化分类
3.4 服务器虚拟化
本章重点：抽象层次，服务器虚拟化，桌面虚拟化
难点：CPU虚拟化
教学模式：课堂授课、课后复习，上机练习。
知识点：硬件级虚拟化，系统虚拟化，寄宿虚拟化，原声虚拟化
能力要求：能够根据需求选择正确的虚拟化技术，实现物理机资源的多虚拟机管理。
4 云计算应用开发
4.1.Hadoop系统
4.2.YARN
4.3 资源调度
本章重点：Hadoop数据处理编程方法
难点：Map函数，Reduce函数，YARN架构，调度算法
教学模式：课堂授课、课后复习，上机练习。
知识点：Hadoop集群架构，Hadoop系统管理，故障处理，任务调度算法。
能力要求：根据需求编写数据处理程序。
  2、实验
   实验教学内容：
实验一、虚拟机使用
实验二、Hadoop部署
实验三、文本计数编程实现
实验"
2180250,"
自然语言处理是计算机科学领域与人工智能领域中的一个重要方向。它研究能实现人与计算机之间用自然语言进行有效通信的各种理论和方法。自然语言处理是一门融语言学、计算机科学、数学于一体的科学。因此，这一领域的研究将涉及自然语言，即人们日常使用的语言，所以它与语言学的研究有着密切的联系，但又有重要的区别。自然语言处理并不是一般地研究自然语言，而在于研制能有效地实现自然语言通信的计算机系统，特别是其中的软件系统。自然语言处理是计算机科学、人工智能、语言学关注计算机和自然语言之间的相互作用的研究领域。
本课程属于软件工程专业本科生的专业选修课程，旨在使学生掌握自然语言处理的基础内容，掌握对设计、使用和理解自然语言处理所需要的基本理论和主流方法。
","
1. 了解自然语言处理的发展历史和主流方法，能够选择适当的方法解决实际需求。（支撑毕业要求1）
2. 能够应用自然语言处理理论对该领域相关问题进行分析，并获得有效的解决方案。（支撑毕业要求2）
3. 能够针对自然语言处理中的科学问题，理解不同层次方法之间区别和联系，掌握分析实际问题并提出解决方案的能力，在实验环节中体现创新意识，综合考虑各类因素。（支撑毕业要求4）
4. 能够针对计算机工程问题，选择与使用计算机绘图、文献检索等现代化工具，进行系统的方案设计。（支撑毕业要求5）

毕业要求

1
2
3
4
5
6
7
8
9
10
11
12
课程目标1
√











课程目标2

√










课程目标3



√








课程目标4




√







四、基本要求
课程授课采用计算机多媒体形式，辅以电子教案与电子书。教学强调理论学习与实践相结合，主张学生动手验证理论知识。使用计算机网络辅助教学，包括在线答疑、布置和批改作业等。
五、教学内容
分章节说明教学内容，并说明教学重点与难点、主要的教学模式（包括授课、自学、实验、大作业等）以及对应的知识、能力要求。 
1、授课与自学
1 绪论
1.1问题的提出
1.2基本概念
1.3历史和现状
1.4研究内容
1.5当前问题和困难
1.6基本研究方法
1.7 数学基础
本章重点：自然语言处理的基本研究方法
难点：相关数学知识 
教学模式：课堂授课、课后复习，指导学生查阅相关文献。
知识点：自然语言处理的研究现状，研究内容，基本研究方法。
能力要求：能够理解自然语言处理学科的研究内容和基本研究方法。
2 形式语言与自动机及其在NLP中的应用
2.1 基本概念：树、字符串、闭包
2.2 形式语言：正则文法，上下文无关文法，无约束文法
2.3 自动机：有限自动机与正则文法，CFG与下推自动机
2.4 有限自动机在NLP中应用
本章重点：CFG、句法树、编辑距离计算
难点：编辑距离计算
教学模式：课堂授课、课后复习，指导学生查阅相关文献，完成基本原理的习题。
知识点：形式语言（正则文法，上下文无关文法，无约束文法）；自动机（有限自动机与正则文法，CFG与下推自动机）；有限自动机与状态转移机的应用（英文单词拼写检查，词性标注）
能力要求：能够理解正则表达式、有限状态图等基本概念，理解4种形式文法的定义和相互关系，掌握文法与自动机的关系，及有限自动机在NLP中应用。
3 语料库与语言知识库
3.1语料库/语料库语言学的基本概念
3.2研究内容和发展历程
3.3语料库类型
3.4语料库建设中的基本问题
3.5典型语料库
3.6 词汇知识库
本章重点：语料库类型；典型语料库；词汇知识库
难点：wordnet应用
教学模式：课堂授课、课后复习，指导学生查阅相关文献，完成基本原理的习题。
知识点：语料库/语料库语言学的基本概念；语料库类型；典型语料库；wordnet应用
能力要求：能够理解语料库/语料库语言学的基本概念，理解语料库类型，典型语料库和词汇知识库。
4 语言模型
u4.1 n元语法的基本概念
u4.2 数据平滑方法
u4.3语言模型的自适应方法
u4.4语言模型的应用
本章重点：n元语法的基本概念，语言模型的自适应方法
难点：Cache-based方法
教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：n元语法的基本概念（uni-gram, bi-gram, tri-gram）；数据平滑方法（减值法，删除减值法）；语言模型的自适应方法（Cache-based，Hybrid，ME-based）；语言模型的应用。
能力要求：能够理解n元语法的基本概念；能够掌握语言模型的自适应方法用于解决复杂问题。
5 隐马尔科夫模型
5.1 马尔可夫模型
5.2隐马尔可夫模型
5.3 前向算法
5.4 后向算法
5.5 Viterbi搜索算法
5.6 参数学习
5.7 应用举例
本章重点：前向与后向算法
难点：隐马尔可夫模型实现中小数溢出的问题
教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：马尔可夫模型；隐马尔可夫模型；前向算法；后向算法；Viterbi搜索算法； 参数学习。
能力要求：能够掌握模型与算法，理解隐马尔可夫模型的三个基本问题，以及模型实现中需要注意的问题：小数溢出。
6、词法分析与词性标注
6.1 概述
6.2 英语的形态分析
6.3 汉语自动分词 
6.4 未登录词识别 
6.5 词性标注
本章重点：分词与词性标注结果评测 （正确率、找回率、F-测度值 ），汉语自动分词的方法（MM,最少分词法，统计法）
难点：规则和统计方法相结合的词性标注方法 
 教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：英语形态分析，汉语自动分词方法，未登录词识别，词性标注问题和方法，分词与词性标注结果评测。
能力要求：能够掌握汉语自动分词方法，词性标注方法，分词与词性标注结果评测；能够将词法分析与词性标注的知识用于解决实际问题。
7、语法理论
7.1 概述
7.2 GB理论
7.3 功能合一语法 (FUG) 
7.4 词汇功能语法 (LFG) 
7.5 树连接语法 (TAG) 
7.6 广义的短语结构语法 (GPSG) 
   本章重点：FUG,LFG,TAG 
难点：TAG的操作 
教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：功能合一语法 (FUG) ，词汇功能语法 (LFG) ，树连接语法 (TAG)，广义的短语结构语法 (GPSG)。
能力要求：能够掌握功能合一语法 (FUG) ，词汇功能语法 (LFG) ，树连接语法 (TAG)，广义的短语结构语法 (GPSG)，能够将语法理论知识用于解决复杂工程问题。
8、句法分析
8.1 概述
8.2 短语结构分析
8.3 线图分析法
8.4 CYK分析算法  
8.5 概率上下文无关文法
8.6 PCFG的三个问题
8.7基于PCFG的句法分析实例
8.8 短语结构分析 方法评估
8.9基于PCFG分析方法的改进
本章重点：线图分析法 、CYK分析算法、概率上下文无关文法、PCFG句法分析 
难点：概率上下文无关文法、基于PCFG分析方法的改进
教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：线图分析法 、CYK分析算法、概率上下文无关文法、PCFG句法分析、基于PCFG分析方法的改进
能力要求：能够掌握线图分析法 、CYK分析算法、概率上下文无关文法、PCFG，能够将句法分析知识用于解决复杂工程问题。
9、语义分析
9.1 概述
9.2 语义理论简介
9.3 格语法
9.4 语义网络  
9.5 概率依存理论
9.6 词义消岐
9.7 语义角色标注
本章重点：有监督的词义消歧方法、无监督的词义消歧方法 
难点： 概念依存理论
教学模式：课堂授课、课后复习，指导学生查阅相关文献，阅读相关源代码以理解实现方法，完成基本原理的习题。
知识点：语义理论、格语法、语义网络、有监督的词义消歧方法 、无监督的词义消歧方法
能力要求：能够理解语义理论、掌握格语法、有监督和无监督的词义消歧方法能够将语法分析知识用于解决实际问题。
2、实验教学
实验教学内容：
实验一、文本处理基础。环境搭建，利用布朗语料库，对news类型问题计数。
实验二、分词和词性标注。在brown语料库中训练一个UnigramTagger一元标注器，用它标注一个句子，并进行评估。
实验三、句法分析实现。重现基于正则表达式的名词短语分块器例子。
实验"
2180256,"
本课程为软件工程专业高年级必修课。这门课程介绍软件工程人员在日常工作、沟通、交流中使用的英语。该课程的目的是让学生练习英语听、说，通过实践培训，提高个人的理解和英语表达。本课程让学生实践、组织和参加小组讨论。通过直接和间接培训的方式让学院为出国留学的英语水平考试、研究生入学考试英语考试做好准备。通过大量的实践练习的课程，提高学生作为专业技术人员的英语交流能力。
","
课程目标1：掌握英语语言沟通技巧的软件和IT行业的使用。（10.2， 12.1）
课程目标2：了解软件行业可接受的商业行为的规范和IT产业在西方的框架。（2.2， 12.2）
课程目标3：掌握组织一个专业英语讨论需要的各种技巧。（10.2， 12.1）
课程目标4：掌握在一个国际化开发环境中需要的基本语言技巧。（10.2， 12.1）
课程目标5：能够在软件开发规范流程中使用标准文体的写作方法。（12.1， 12.2）
课程目标6：掌握软件工程领域英语的演讲、辩论、作报告、汇报工作、面试、与主持会议的能力。（2.2，10.2，12.2）


毕业要求

2.2
10.2
12.1
12.2
课程目标1

√
√

课程目标2
√


√
课程目标3

√
√

课程目标4

√
√

课程目标5


√
√
课程目标6
√
√

√


"
2180265,"
软件工程是软件学院本科生的专业核心课程。该课程具有抽象性、理论性、实践性兼备的特点。本课程围绕软件开发相关的成本、质量、工期和服务相关的核心问题，主要讲授软件开发过程和软件项目管理相关的理论性概念以及实践框架、度量标准和工程方法。通过学习课程，学生了解软件工程的主要开发过程，并围绕开发过程掌握包括软件度量、成本估算、进度计划指定和风险管理等相关的理论、技术、方法和工具，并初步能够依据项目特点、团队实力和资源情况选择合适的软件开发过程，并利用所学理论、技术、工具和方法开展软件项目管理。
","
通过本课程的学习，学生应达到的目标如下：
1. 能够准确理解软件的特性，了解软件工程的基本概念和基本原理，对主流软件过程有较为深入的理解，能针对复杂的软件领域复杂工程问题，根据团队所掌握的资源、技术和工具，综合考虑考虑社会、健康、安全、法律及文化的影响，选择恰当的软件过程并遵循相应的流程、准则、标准和规范来开发软件产品。（支撑毕业要求13.1）
2. 能够正确运用软件工程过程和软件项目管理的理论、方法、工具个规范开展项目沟通和技术交流，同同行和社会工众进行有效的沟通。（支撑毕业要求13.1）
3. 能够根据软件需求、设计以及开发团队资源，正确估计软件开发的精度和成本，掌握开发高质量软件的方法，以及有效地策划和管理软件开发活动，为学生参加大型软件开发项目打下坚实的理论基础。（支撑毕业要求13.2）
4. 理解软件工程的概念体系，了解软件工程的工程化思维基本原理和方法，合理评估软件开发中的各类风险，有效控制开发进度和成本，能够面对国内外在软件工程过程及管理方面新的问题和挑战.（支撑毕业要求13.2）
"
2180266,,
2180267,"
 “形式化方法”是软件工程专业的一门专业基础必修课程，是ACM/IEEE共同规定的软件工程专业核心课程之一，其目的是为软件开发的工业化提供必要的数学工具及应用方法，其任务是培养学生作为软件工程专业人才在形式化方法论方面的基本素养，训练学生能够使用形式化方法来描述和验证软件系统的规范。

","
通过本课程的学习，使学生了解形式化方法的基本理论和基本原理，掌握软件形式规格，能应用基本形式化方法验证程序正确性。学会用“数学思维”去思考和用“形式化方法”去处理软件和系统开发过程的程序验证问题。具体目标如下：
1、能够借助文献查阅分析复杂计算机工程问题的影响因素，从现代软件工程角度清晰理解形式化方法的背景、目的、效果，对软件工程问题进行抽象，掌握形式化方法规格描述的数学及逻辑基础。（支撑毕业要求2.2）
2、能够应用数学及逻辑的基本原理以及计算机工程专业知识对软件系统工程问题的数学模型进行求解，全面地掌握Z规格，包括Z的类型系统，Z的数学及逻辑基础，模式的描述功能，模式类型，模式运算，Z规格的关系、函数、序列、包等基本概念。对系统开发需求分析过程中遇到的问题，能够清晰明确地表达与陈述，对自然语言和程序设计语言描述规格说明的缺陷通过Z规格描述进行有效解决。（支撑毕业要求2.3）
3、能够借助文献查阅了解B方法，及Z规格和B方法之间关系和常见模型检测方法。对复杂计算机工程问题进行有效抽象，选择正确的基于数学或形式语义的规格说明语言描述所开发的软件功能，对模型的合理性进行分析与评估，并验证结果的有效性。（支撑毕业要求2.2、2.3）

"
2180267,"
 “形式化方法”是软件工程专业的一门专业基础必修课程，是ACM/IEEE共同规定的软件工程专业核心课程之一，其目的是为软件开发的工业化提供必要的数学工具及应用方法，其任务是培养学生作为软件工程专业人才在形式化方法论方面的基本素养，训练学生能够使用形式化方法来描述和验证软件系统的规范。

","
通过本课程的学习，使学生了解形式化方法的基本理论和基本原理，掌握软件形式规格，能应用基本形式化方法验证程序正确性。学会用“数学思维”去思考和用“形式化方法”去处理软件和系统开发过程的程序验证问题。具体目标如下：
1、能够借助文献查阅分析复杂计算机工程问题的影响因素，从现代软件工程角度清晰理解形式化方法的背景、目的、效果，对软件工程问题进行抽象，掌握形式化方法规格描述的数学及逻辑基础。（支撑毕业要求2.2）
2、能够应用数学及逻辑的基本原理以及计算机工程专业知识对软件系统工程问题的数学模型进行求解，全面地掌握Z规格，包括Z的类型系统，Z的数学及逻辑基础，模式的描述功能，模式类型，模式运算，Z规格的关系、函数、序列、包等基本概念。对系统开发需求分析过程中遇到的问题，能够清晰明确地表达与陈述，对自然语言和程序设计语言描述规格说明的缺陷通过Z规格描述进行有效解决。（支撑毕业要求2.3）
3、能够借助文献查阅了解B方法，及Z规格和B方法之间关系和常见模型检测方法。对复杂计算机工程问题进行有效抽象，选择正确的基于数学或形式语义的规格说明语言描述所开发的软件功能，对模型的合理性进行分析与评估，并验证结果的有效性。（支撑毕业要求2.2、2.3）

"
2180277,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学导论课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。通过课程的学习，不但可以掌握处理离散结构的描述工具和方法，为后续课程的学习创造条件，而且可以提高抽象思维和严格的逻辑推理能力，为将来参与创新性的研究和开发工作打下坚实的基础。
","
1. 了解离散数学各部分（包括数理逻辑、集合论、代数系统、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题（例如“苏格拉底三段论”等推理问题、旅行商等优化问题），并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2180277,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学导论课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。通过课程的学习，不但可以掌握处理离散结构的描述工具和方法，为后续课程的学习创造条件，而且可以提高抽象思维和严格的逻辑推理能力，为将来参与创新性的研究和开发工作打下坚实的基础。
","
1. 了解离散数学各部分（包括数理逻辑、集合论、代数系统、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题（例如“苏格拉底三段论”等推理问题、旅行商等优化问题），并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2180277,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学导论课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。通过课程的学习，不但可以掌握处理离散结构的描述工具和方法，为后续课程的学习创造条件，而且可以提高抽象思维和严格的逻辑推理能力，为将来参与创新性的研究和开发工作打下坚实的基础。
","
1. 了解离散数学各部分（包括数理逻辑、集合论、代数系统、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题（例如“苏格拉底三段论”等推理问题、旅行商等优化问题），并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2180277,"
离散数学是研究离散量的结构及其相互关系的数学学科，是现代数学的一个重要分支，在计算机科学与技术领域有着广泛的应用。离散数学导论课程是计算机专业的基础课程，是许多专业课程（如离散数学、程序设计语言、数据结构、操作系统、编译技术、人工智能、数据库、算法设计与分析等）必不可少的先行课程。通过课程的学习，不但可以掌握处理离散结构的描述工具和方法，为后续课程的学习创造条件，而且可以提高抽象思维和严格的逻辑推理能力，为将来参与创新性的研究和开发工作打下坚实的基础。
","
1. 了解离散数学各部分（包括数理逻辑、集合论、代数系统、图论）的基本定义和定理，理解上述定义定理与计算机科学中离散性问题的内在联系，掌握使用数学抽象模型解决特定计算问题的基本方法。熟悉离散数学各部分内容的主要特点，以及它们在计算机科学中的主要用途，掌握其解决计算问题的基本理论和方法。能够应用这些理论和方法解决一些经典问题（例如“苏格拉底三段论”等推理问题、旅行商等优化问题），并在解决问题过程中培养逻辑思维能力，提高抽象建模能力。（支撑毕业要求2.1）
2. 学会分析计算机科学中不同问题的离散特性，结合离散数学各部分内容的特点，对于不同的具体问题，合理选择抽象模型，并使用正确的离散数学理论和方法进行分析。判断具体的应用问题是否能够使用离散数学课程所学的定义和定理进行形式化描述和分析。若可以，则使用所学定义和定理解决该问题。若不能，则通过参阅参考文献等方法，确定具体问题中所涉及新的数学定义和方法，基于新的理论和方法对具体问题进行进一步的抽象建模和分析。（支撑毕业要求3.2）
3. 面对复杂工程问题，能够利用离散数学的数学思维方法，对具体问题进行抽象建模和分析，包括将复杂问题分解为若干具有离散性质的子问题；基于不同子问题的特点，结合离散数学中各部分内容，寻找适当的抽象模型；利用离散数学的定义和定理，对各抽象模型进行分析；与计算机其他理论和技术（包括数据结构、算法分析等）相结合，进一步完善各子问题的抽象模型。（支撑毕业要求3.2）
"
2180278,"
计算机系统导论是智能与计算学部面向所有专业的大类基础课。计算机学科是一个复杂的综合性学科，该课程设计的目的是为计算机类专业的学生学习计算机知识提供入门和引导，教学内容包括计算机系统发展史、计算机软硬件组成、计算机系统理论和实践基础，以及计算机前沿技术。
该课程针对当前计算机类专业的新生学科知识匮乏但是计算机学科分支众多的情况，通过提供对计算学科的总体概览以及结合新兴技术进行领域知识介绍，帮助学生理清学习方向和目标，初步建立起学生的计算机思维。
","
1. 了解计算机系统的发展历史，包括四代计算机系统结构的变化历程等，熟练掌握计算机的基本组成原理；理解计算机产生和发展的现实条件以及计算机的产生对人类社会产生的巨大影响。（支撑毕业要求5.3）
2. 熟悉数据库、计算机网络等传统计算机技术的基本原理，并理解计算机技术的发展带来的网络安全、伦理道德等问题。（支撑毕业要求8.1）
3. 了解人工智能、大数据分析、云计算等技术的基本原理和发展趋势，理解计算机技术为社会管理和环境治理提供的支撑作用。（支撑毕业要求9.1）
4. 了解计算机行业前沿技术以及行业动态，了解国家和社会发展亟需突破的技术壁垒，培养学生与计算学科日新月异的发展需求相称的学习思维和能力。（支撑毕业要求14.2）

"
2180278,"
计算机系统导论是智能与计算学部面向所有专业的大类基础课。计算机学科是一个复杂的综合性学科，该课程设计的目的是为计算机类专业的学生学习计算机知识提供入门和引导，教学内容包括计算机系统发展史、计算机软硬件组成、计算机系统理论和实践基础，以及计算机前沿技术。
该课程针对当前计算机类专业的新生学科知识匮乏但是计算机学科分支众多的情况，通过提供对计算学科的总体概览以及结合新兴技术进行领域知识介绍，帮助学生理清学习方向和目标，初步建立起学生的计算机思维。
","
1. 了解计算机系统的发展历史，包括四代计算机系统结构的变化历程等，熟练掌握计算机的基本组成原理；理解计算机产生和发展的现实条件以及计算机的产生对人类社会产生的巨大影响。（支撑毕业要求5.3）
2. 熟悉数据库、计算机网络等传统计算机技术的基本原理，并理解计算机技术的发展带来的网络安全、伦理道德等问题。（支撑毕业要求8.1）
3. 了解人工智能、大数据分析、云计算等技术的基本原理和发展趋势，理解计算机技术为社会管理和环境治理提供的支撑作用。（支撑毕业要求9.1）
4. 了解计算机行业前沿技术以及行业动态，了解国家和社会发展亟需突破的技术壁垒，培养学生与计算学科日新月异的发展需求相称的学习思维和能力。（支撑毕业要求14.2）

"
2180278,"
计算机系统导论是智能与计算学部面向所有专业的大类基础课。计算机学科是一个复杂的综合性学科，该课程设计的目的是为计算机类专业的学生学习计算机知识提供入门和引导，教学内容包括计算机系统发展史、计算机软硬件组成、计算机系统理论和实践基础，以及计算机前沿技术。
该课程针对当前计算机类专业的新生学科知识匮乏但是计算机学科分支众多的情况，通过提供对计算学科的总体概览以及结合新兴技术进行领域知识介绍，帮助学生理清学习方向和目标，初步建立起学生的计算机思维。
","
1. 了解计算机系统的发展历史，包括四代计算机系统结构的变化历程等，熟练掌握计算机的基本组成原理；理解计算机产生和发展的现实条件以及计算机的产生对人类社会产生的巨大影响。（支撑毕业要求5.3）
2. 熟悉数据库、计算机网络等传统计算机技术的基本原理，并理解计算机技术的发展带来的网络安全、伦理道德等问题。（支撑毕业要求8.1）
3. 了解人工智能、大数据分析、云计算等技术的基本原理和发展趋势，理解计算机技术为社会管理和环境治理提供的支撑作用。（支撑毕业要求9.1）
4. 了解计算机行业前沿技术以及行业动态，了解国家和社会发展亟需突破的技术壁垒，培养学生与计算学科日新月异的发展需求相称的学习思维和能力。（支撑毕业要求14.2）

"
2180278,"
计算机系统导论是智能与计算学部面向所有专业的大类基础课。计算机学科是一个复杂的综合性学科，该课程设计的目的是为计算机类专业的学生学习计算机知识提供入门和引导，教学内容包括计算机系统发展史、计算机软硬件组成、计算机系统理论和实践基础，以及计算机前沿技术。
该课程针对当前计算机类专业的新生学科知识匮乏但是计算机学科分支众多的情况，通过提供对计算学科的总体概览以及结合新兴技术进行领域知识介绍，帮助学生理清学习方向和目标，初步建立起学生的计算机思维。
","
1. 了解计算机系统的发展历史，包括四代计算机系统结构的变化历程等，熟练掌握计算机的基本组成原理；理解计算机产生和发展的现实条件以及计算机的产生对人类社会产生的巨大影响。（支撑毕业要求5.3）
2. 熟悉数据库、计算机网络等传统计算机技术的基本原理，并理解计算机技术的发展带来的网络安全、伦理道德等问题。（支撑毕业要求8.1）
3. 了解人工智能、大数据分析、云计算等技术的基本原理和发展趋势，理解计算机技术为社会管理和环境治理提供的支撑作用。（支撑毕业要求9.1）
4. 了解计算机行业前沿技术以及行业动态，了解国家和社会发展亟需突破的技术壁垒，培养学生与计算学科日新月异的发展需求相称的学习思维和能力。（支撑毕业要求14.2）

"
